,id,created_at,text
0,1067169350145196033,2018-11-26 21:32:54,thank you @loumalnatis for providing a great lunch for our team author of our upcoming book the real man plan dr https://t.co/ro2ewirpja'
1,1066823338662813696,2018-11-25 22:37:59,looking to tone your back try these 10 exercises n n1 bent over row n2 renegade row n3 single-armed dumbbell row xc2 xa0 https://t.co/ajy9fj3vw4'
2,1066494305215246336,2018-11-25 00:50:31,grit is not just simple elbow-grease term for rugged persistence it is an often invisible display of endurance th https://t.co/9jvtswh0xe'
3,1066472293214404608,2018-11-24 23:23:03,what is the ketogenic diet and is it any good for you https://t.co/vlsogtlxog'
4,1066456456961114112,2018-11-24 22:20:07,october q amp a how many calories should you eat to lose fat and more https://t.co/pzt4a424xn'
5,1065984330500063233,2018-11-23 15:04:04,the 6 common fitness tips that are actually bad advice https://t.co/qb1je5fwjq'
6,1065924449386594304,2018-11-23 11:06:07,tactical flashlights how to use them for self-defense the art of manliness https://t.co/wqugz72gje'
7,1065789545868861440,2018-11-23 02:10:03,the 13 best protein bars for men https://t.co/j6fjqmehu3'
8,1065695202369781760,2018-11-22 19:55:10,the 10 second headache remedy a physical therapist swears by https://t.co/dwblscycy0'
9,1065677897933963265,2018-11-22 18:46:24,happy #thanksgiving today's challenge is to get off your phone spend today and this holiday weekend on the phone https://t.co/jwbkwhcgl4
10,1065657184124657664,2018-11-22 17:24:06,what grain brain has to do with the keto diet keen for keto https://t.co/cym2jgz6mt'
11,1065393216286048256,2018-11-21 23:55:11,crush your chest and triceps with just 1 band https://t.co/y3fhh95xf7'
12,1065350431168229382,2018-11-21 21:05:10,#author of the real man plan dr john shufeldt is continually on the go one of his favorite ways to break away f https://t.co/hmafzw1nci'
13,1065308906631692288,2018-11-21 18:20:10,tip the dumbbell side bend is for dummies t nation https://t.co/azvflngmjr'
14,1065290020473511936,2018-11-21 17:05:07,want to build better biceps avoid these 4 common training mistakes https://t.co/f8gnsa8okb'
15,1065286248267423755,2018-11-21 16:50:08,how to deal with diet saboteurs max sports amp fitness magazine https://t.co/brvlvrytu2'
16,1065062811225722881,2018-11-21 02:02:16,did you know that men can get breast cancer too and it's usually detected later than breast #cancer in women maki https://t.co/vxrv8vockb
17,1065009415336722433,2018-11-20 22:30:06,a beginner's guide to the mediterranean diet nhttps t co zxz 06fylap
18,1064979228955983872,2018-11-20 20:30:09,too much caffeine may stress the heart https://t.co/k3oeukcxxx'
19,1064930651185520641,2018-11-20 17:17:07,how to do a perfect biceps curl https://t.co/ipwfrk4cmv'
20,1064872506786529280,2018-11-20 13:26:04,organic junk food you can waste your money wreck your health and fill the pockets of evil corporate america if https://t.co/26pmsd3elz'
