,id,created_at,text
0,1067180777874604033,2018-11-26 22:18:19,rt @theboywhowrote send me a we need to talk text and i m just going to respond with yeah we absolutely do now we re both waiting wi
1,1067141636570910728,2018-11-26 19:42:47,rt @totalistah will there ever be a part 2 to lady gaga and beyonce's telephone video or should i just give up and die now
2,1067109862910410753,2018-11-26 17:36:31,rt @spicyspice_ could there be a more cancer tweet probably not https://t.co/lwvdzyvhqy'
3,1067086574754639872,2018-11-26 16:03:59,@tlojas__ thanks for this reminder
4,1067077926720540673,2018-11-26 15:29:37,i don t care i say caringly with caring tears in my eyes
5,1066927254880571392,2018-11-26 05:30:54,rt @janellearchive https://t.co/p2pahz6rwf'
6,1066917936793878529,2018-11-26 04:53:53,no https://t.co/mkuczzjjaj'
7,1066916393210269697,2018-11-26 04:47:45,rt @fazemikeyy turn up your brightness to see the stars xf0 x9f xa4 xa9 https://t.co/amtzwfbax2'
8,1066906844814295041,2018-11-26 04:09:48,rt @prisonculture another world is possible but only if all of us can face actual reality
9,1066900621612195840,2018-11-26 03:45:04,rt @proletariatitty before i am an american i am a thot
10,1066899862485114882,2018-11-26 03:42:03,faves xf0 x9f x98 xad can yall adopt me pls https://t.co/c5ghfgjp1v'
11,1066899345885339648,2018-11-26 03:40:00,rt @poetastrologers week of 11 25 in cancer you tell everyone to take their vitamins and get enough rest they appreciate all of this car
12,1066888276051746816,2018-11-26 02:56:01,rt @asolezz pros and cons of dating me npro me ncon me
13,1066875530660712448,2018-11-26 02:05:22,rt @colorschemez inrush avocado green nswagger camouflage green nfaradic light olive green https://t.co/wucxsyqgpm'
14,1066854310577954819,2018-11-26 00:41:03,icon https://t.co/a7k6s08am8'
15,1066854181976399872,2018-11-26 00:40:32,love people who don t hesitate to say i love you
16,1066832885964001282,2018-11-25 23:15:55,rt @glamourgoais 90 s looks https://t.co/iywjm20vkt'
17,1066832793957740549,2018-11-25 23:15:33,rt @skincaredyke we're absolutely dyking it today
18,1066826839598006272,2018-11-25 22:51:53,rt @melangeceo masculine presenting people date other masculine presenting people its okay
19,1066811242969481217,2018-11-25 21:49:55,he's lying to u girl
20,1066802433416970242,2018-11-25 21:14:55,rt @muthaevrth yeah cus y'all the ones stressing niggas out https://t.co/soenkvi9yp'
21,1066800781117071365,2018-11-25 21:08:21,rt @tiny_spice anyways white wine is for the weak when the apocalypse comes only red wine drinkers will survive
22,1066788365553594368,2018-11-25 20:19:00,i could be working harder i should be working harder
23,1066783475502596098,2018-11-25 19:59:35,rt @shellz_gotcheez this what y'all pay tithes for https://t.co/soqcvvn0ij'
24,1066731950843535360,2018-11-25 16:34:50,rt @arianagrande everything i feel is valid and safe everything i do is genuine and honest there is no right or wrong during this period
25,1066729528544935937,2018-11-25 16:25:13,rt @talasia_ i miss my girlfriend
26,1066729468679593985,2018-11-25 16:24:58,rt @poetastrologers mood https://t.co/thxwq7ipx5'
27,1066569947575435264,2018-11-25 05:51:06,really regretting not bringing my skateboard to new york
